"","tl","delta","prob_R0_above1"
"91",5,-6,0.256521739130435
"92",5,-5,0.30938123752495
"93",5,-4,0.367125984251969
"94",5,-3,0.393683023124647
"95",5,-2,0.411764705882353
"96",5,-1,0.462686567164179
"97",5,0,0.502292959266253
"98",5,1,0.581555153707052
"99",5,2,0.63191613278975
"100",5,3,0.733934611048478
"101",5,4,0.820448877805486
"102",5,5,0.863636363636364
"103",5,6,0.850746268656716
"104",5,7,0.923076923076923
"105",5,8,0.875
"106",5,9,1
"107",5,10,1
"108",6,-11,0
"109",6,-10,0
"110",6,-9,0.0769230769230769
"111",6,-8,0.162790697674419
"112",6,-7,0.1875
"113",6,-6,0.265217391304348
"114",6,-5,0.288389513108614
"115",6,-4,0.3300395256917
"116",6,-3,0.374801482265749
"117",6,-2,0.392480674631061
"118",6,-1,0.445743812890944
"119",6,0,0.502863376056722
"120",6,1,0.596955418629938
"121",6,2,0.701851851851852
"122",6,3,0.75906432748538
"123",6,4,0.890995260663507
"124",6,5,0.916256157635468
"125",6,6,0.963414634146341
"126",6,7,1
"127",6,8,0.941176470588235
"128",6,9,1
"129",6,10,1
"130",7,-11,0
"131",7,-10,0
"132",7,-9,0.0625
"133",7,-8,0.155555555555556
"134",7,-7,0.149532710280374
"135",7,-6,0.236051502145923
"136",7,-5,0.226824457593688
"137",7,-4,0.298178331735379
"138",7,-3,0.32381940840685
"139",7,-2,0.375043813529618
"140",7,-1,0.435316593886463
"141",7,0,0.511335012594458
"142",7,1,0.615812917594655
"143",7,2,0.746177370030581
"144",7,3,0.825526932084309
"145",7,4,0.923611111111111
"146",7,5,0.95959595959596
"147",7,6,0.967213114754098
"148",7,7,1
"149",7,8,0.958333333333333
"150",7,9,1
"151",7,10,1
"152",7,11,1
"153",8,-12,0
"154",8,-11,0
"155",8,-10,0.25
"156",8,-9,0.157894736842105
"157",8,-8,0.0816326530612245
"158",8,-7,0.205882352941176
"159",8,-6,0.16988416988417
"160",8,-5,0.202602230483271
"161",8,-4,0.257067137809187
"162",8,-3,0.297211993687533
